lat,lon,diam
70.0517,193.394,26.1729
61.1678,233.222,44.006
61.8821,227.309,96.9179
61.6791,230.561,33.487
68.4782,211.327,36.0335
71.7058,176.166,64.5197
72.6128,166.919,91.9716
73.8351,167.261,151.279
74.9992,176.853,67.4715
68.0673,147.112,27.3988
67.684,143.304,28.8542
66.1324,139.168,46.3725
66.3962,136.636,33.1437
61.5407,131.257,20.7742
63.8883,127.699,23.8869
64.8544,130.402,20.7381
65.2491,135.363,24.9462
68.5762,143.023,25.6245
71.9038,158.315,41.1327
72.6136,179.963,22.3306
73.5291,185.453,34.062
71.9828,203.914,20.7095
70.2628,213.45,59.218
68.1358,218.278,20.375
66.8337,224.241,42.24
67.3499,226.0,41.8992
62.3793,230.428,27.2609
62.2468,237.0,25.0041
64.5709,232.99,30.2509
64.6735,234.61,33.1511
69.166,223.647,28.7343
75.804,187.114,22.0348
75.0682,184.99,23.74
74.8927,190.505,64.4018
74.4205,181.915,34.5138
73.0152,146.057,48.7711
73.6599,153.516,20.9225
73.7527,147.187,98.777
72.2041,152.995,20.6581
68.8836,137.405,22.2351
65.7743,128.293,25.5874
64.8073,125.57,45.6619
61.8874,120.297,30.0959
63.25,121.743,34.2353
74.6687,204.233,31.8538
71.1499,222.219,23.6045
70.472,217.123,108.749
71.0214,224.798,53.3845
68.6526,233.04,43.8088
68.3125,232.541,81.7395
67.2115,236.335,37.5821
66.891,233.367,82.8568
65.9039,238.103,45.4206
63.3033,241.734,46.9016
68.5657,236.826,26.5475
71.8013,230.161,84.7481
74.7439,215.093,47.3325
76.6585,210.021,29.1344
77.5973,182.711,48.9469
77.7297,178.224,104.547
77.3589,167.944,63.5143
76.434,171.203,94.2839
75.7698,156.305,24.3471
75.1675,151.269,26.3916
73.6345,141.099,21.6566
71.6827,131.731,21.4943
67.403,124.752,42.7526
69.0498,121.802,44.3051
70.1083,120.432,216.509
75.1496,139.485,77.2657
78.3737,185.262,20.2761
77.5856,198.547,21.2284
73.7209,227.52,27.4882
74.6351,225.708,51.8899
67.3643,240.499,48.551
66.3581,245.785,62.9566
68.667,242.541,30.1835
62.916,245.806,21.4107
72.1996,240.186,58.041
76.6161,219.824,22.8407
78.9129,213.88,64.1829
81.5756,177.594,121.706
80.176,205.708,29.6319
78.3877,148.374,56.1658
77.4991,141.066,37.0728
79.4081,143.22,43.7044
63.9009,110.581,28.7539
76.9757,228.1,20.7491
76.2613,227.375,20.0992
68.8952,247.157,29.9328
72.1454,245.723,47.1149
61.8709,254.509,23.1029
72.5219,241.905,21.244
71.8514,241.397,20.1884
74.8393,242.53,58.2628
75.8123,238.183,22.7099
79.5388,222.651,23.7631
79.7408,228.572,28.8956
80.3294,216.639,38.5631
